key,zh_TW,en
app.title,Snap Ledger,Snap Ledger
appShell.navigation.list,清單,List
appShell.navigation.database,資料庫,Database
appSettings.title,設定,Settings
appSettings.section.appearance,外觀,Appearance
appSettings.section.app,App,App
appSettings.section.security,安全性,Security
appSettings.section.data,資料,Data
appSettings.themeMode.title,主題,Theme
appSettings.themeMode.system,跟隨系統,System
appSettings.themeMode.light,淺色,Light
appSettings.themeMode.dark,深色,Dark
appSettings.themeSeed.title,主題色,Theme color
appSettings.themeSeed.subtitle,選擇 app 的主色調。,Choose the app accent color.
appSettings.themeSeed.label,顏色,Color
appSettings.themeSeed.classicDeepPurple,經典深紫,Classic deep purple
appSettings.themeSeed.violet,紫羅蘭,Violet
appSettings.themeSeed.teal,藍綠,Teal
appSettings.themeSeed.coral,珊瑚,Coral
appSettings.themeSeed.amber,琥珀,Amber
appSettings.themeSeed.berry,莓果,Berry
appSettings.comingSoon,即將推出,Coming soon
appSettings.checkUpdate.title,檢查更新,Check for updates
appSettings.checkUpdate.subtitle,檢查 GitHub Release 是否有新版本。,Check GitHub Releases for a newer version.
appSettings.checkUpdate.availableTitle,發現新版本 {version},New version {version} available
appSettings.checkUpdate.currentVersion,目前版本 {version},Current version {version}
appSettings.checkUpdate.releaseNotes,版本說明,Release notes
appSettings.checkUpdate.noReleaseNotes,這個版本沒有提供更新說明。,No release notes were provided for this version.
appSettings.checkUpdate.downloadTitle,下載安裝檔,Download build
appSettings.checkUpdate.releasePageTitle,查看 GitHub Release,Open GitHub release
appSettings.checkUpdate.fetchError,目前無法取得最新版本資訊。,Unable to fetch the latest release information right now.
appSettings.checkUpdate.upToDate,目前已經是最新版本。,You're already on the latest version.
appSettings.checkUpdate.openLinkError,無法開啟外部連結。,Unable to open the external link.
appSettings.exportData.title,匯出資料,Export data
appSettings.exportData.subtitle,將人物、待辦與設定匯出成備份檔。,Export people, todos, and settings as a backup file.
appSettings.exportData.success,已開啟資料匯出分享。,Backup export is ready to share.
appSettings.exportData.error,匯出資料失敗。,Failed to export data.
appSettings.importData.title,匯入資料,Import data
appSettings.importData.subtitle,從備份檔匯入人物、待辦與設定。,Import people, todos, and settings from a backup file.
appSettings.importData.success,資料匯入完成。,Data import completed.
appSettings.importData.invalidFormat,這不是 trace 的備份格式，已取消匯入。,This file is not a valid trace backup. Import was cancelled.
appSettings.importData.error,匯入資料失敗。,Failed to import data.
appSettings.fingerprint.title,指紋辨識,Fingerprint recognition
appSettings.fingerprint.subtitle,開啟後可在 app 重新進入時要求再次驗證。,When enabled, the app can require verification after it is reopened.
